name,fav_rating
Han Solo,610
Luke Skywalker,552
Princess Leia Organa,547
Anakin Skywalker,245
Obi Wan Kenobi,591
Emperor Palpatine,110
Darth Vader,310
Lando Calrissian,142
Boba Fett,138
C-3P0,474
R2 D2,562
Jar Jar Binks,112
Padme Amidala,168
Yoda,605
