value
timestamp
tools_coder
tools_viz
tools_version_ctrl
tools_cli
tools_rdbms
import_experience
scripts_experience
baser_viz_experience
ggplot2_experience
interactive_experience
pivot_experience
join_experience
viz_workflow_satify
